46.229.168.134 - - [12/Oct/2018:10:07:42 +0200] "GET /robots.txt HTTP/1.1" 301 316
46.229.168.139 - - [12/Oct/2018:10:07:44 +0200] "GET /robots.txt HTTP/1.1" 200 80
46.229.168.129 - - [12/Oct/2018:10:07:45 +0200] "GET /kursanmeldung HTTP/1.1" 301 319
46.229.168.135 - - [12/Oct/2018:10:07:48 +0200] "GET /kursanmeldung HTTP/1.1" 200 36639
207.46.13.147 - - [12/Oct/2018:10:18:45 +0200] "GET /kurse.shtml HTTP/1.1" 200 32172
207.46.13.147 - - [12/Oct/2018:10:18:47 +0200] "GET /kurse HTTP/1.1" 301 311
54.36.148.193 - - [12/Oct/2018:10:27:01 +0200] "GET /segelkurs-jollesmartkat HTTP/1.1" 301 329
54.36.149.60 - - [12/Oct/2018:10:36:18 +0200] "GET /var/m_0/0d/0dd/12455/6564744-G3_SKT2015_68.jpg HTTP/1.1" 301 352
216.244.66.248 - - [12/Oct/2018:10:36:48 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [12/Oct/2018:10:36:50 +0200] "GET /robots.txt HTTP/1.1" 200 120
95.108.181.76 - - [12/Oct/2018:10:44:07 +0200] "GET /robots.txt HTTP/1.1" 200 120
95.108.181.76 - - [12/Oct/2018:10:44:11 +0200] "GET /favicon.ico HTTP/1.1" 200 1150
62.12.175.131 - - [12/Oct/2018:10:55:35 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
62.12.175.131 - - [12/Oct/2018:10:55:35 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
62.12.175.131 - - [12/Oct/2018:10:55:35 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
62.12.175.131 - - [12/Oct/2018:10:55:35 +0200] "GET / HTTP/1.1" 200 32165
62.12.175.131 - - [12/Oct/2018:10:55:35 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43359 HTTP/1.1" 200 48314
