40.77.167.33 - - [27/May/2019:15:00:54 +0200] "GET /event-pedalo HTTP/1.1" 301 617
54.36.149.33 - - [27/May/2019:15:02:51 +0200] "GET /var/m_0/0d/0dd/12455/6564721-G3_SKT2015_48.jpg HTTP/1.1" 301 617
80.66.226.239 - - [27/May/2019:15:06:45 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
80.66.226.239 - - [27/May/2019:15:06:46 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
80.66.226.239 - - [27/May/2019:15:06:46 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
80.66.226.239 - - [27/May/2019:15:07:18 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 200 69000
80.66.226.239 - - [27/May/2019:15:07:19 +0200] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
80.66.226.239 - - [27/May/2019:15:07:19 +0200] "GET /var/m_0/0d/0dd/12455/125489-5_Pr%C3%BCfungskurs.JPG HTTP/1.1" 200 53669
80.66.226.239 - - [27/May/2019:15:07:21 +0200] "GET /index.php HTTP/1.1" 302 0
80.66.226.239 - - [27/May/2019:15:07:22 +0200] "GET / HTTP/1.1" 301 617
80.66.226.239 - - [27/May/2019:15:07:23 +0200] "GET /var/m_0/0d/0dd/12455/9564461-Corsaire_Titel.JPG HTTP/1.1" 200 226174
80.66.226.239 - - [27/May/2019:15:07:23 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
80.66.226.239 - - [27/May/2019:15:07:24 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
80.66.226.239 - - [27/May/2019:15:07:24 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
80.66.226.239 - - [27/May/2019:15:07:24 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
80.66.226.239 - - [27/May/2019:15:07:24 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
80.66.226.239 - - [27/May/2019:15:07:35 +0200] "GET /index.php HTTP/1.1" 301 617
80.66.226.239 - - [27/May/2019:15:07:37 +0200] "GET / HTTP/1.1" 200 6705
80.66.226.239 - - [27/May/2019:15:07:38 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
80.66.226.239 - - [27/May/2019:15:07:39 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
80.66.226.239 - - [27/May/2019:15:07:39 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
80.66.226.239 - - [27/May/2019:15:07:39 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
80.66.226.239 - - [27/May/2019:15:07:56 +0200] "GET /var/m_0/0d/0dd/12455/125488-4_Grundkurs.JPG HTTP/1.1" 200 77496
80.66.226.239 - - [27/May/2019:15:07:57 +0200] "GET /var/m_0/0d/0dd/12455/125503-36_420er.jpg HTTP/1.1" 200 61172
80.66.226.239 - - [27/May/2019:15:08:11 +0200] "GET /kurse.shtml HTTP/1.1" 200 6430
80.66.226.239 - - [27/May/2019:15:08:11 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
80.66.226.239 - - [27/May/2019:15:08:11 +0200] "GET /var/m_0/0d/0dd/12455/125485-1_Kinderkurs.JPG HTTP/1.1" 200 64975
80.66.226.239 - - [27/May/2019:15:08:11 +0200] "GET /var/m_0/0d/0dd/12455/126374-6_Schnupperkurs.JPG HTTP/1.1" 200 53584
80.66.226.239 - - [27/May/2019:15:08:27 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5232
216.244.66.248 - - [27/May/2019:15:16:41 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [27/May/2019:15:16:58 +0200] "GET /robots.txt HTTP/1.1" 200 120
54.36.148.187 - - [27/May/2019:15:33:11 +0200] "GET /var/m_0/0d/0dd/12455/6564692-G3_SKT2015_22.jpg HTTP/1.1" 301 617
207.46.13.217 - - [27/May/2019:15:35:30 +0200] "GET /galerie-matchracing HTTP/1.1" 301 617
80.66.226.239 - - [27/May/2019:15:39:18 +0200] "GET /templates/resellers/7/favicon.ico?v=1553518201 HTTP/1.1" 200 4286
80.66.226.239 - - [27/May/2019:15:39:53 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
80.66.226.239 - - [27/May/2019:15:39:54 +0200] "GET /gfx/contactUs/reload-Icon.jpg HTTP/1.1" 200 1618
80.66.226.239 - - [27/May/2019:15:40:08 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 200 10133
80.66.226.239 - - [27/May/2019:15:40:10 +0200] "POST /wforms/captcha/index HTTP/1.1" 200 7608
54.36.149.65 - - [27/May/2019:15:57:08 +0200] "GET /var/m_0/0d/0dd/12455/125486-2_Sportkurs.JPG HTTP/1.1" 301 617
216.244.66.248 - - [27/May/2019:16:02:13 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [27/May/2019:16:02:53 +0200] "GET /robots.txt HTTP/1.1" 200 120
18.212.246.175 - - [27/May/2019:16:22:33 +0200] "HEAD / HTTP/1.1" 403 0
85.14.245.125 - - [27/May/2019:16:24:51 +0200] "GET /robots.txt HTTP/1.1" 200 120
40.77.167.49 - - [27/May/2019:16:25:23 +0200] "GET /segel-grundkurs HTTP/1.1" 200 6086
85.14.245.125 - - [27/May/2019:16:25:28 +0200] "GET /robots.txt HTTP/1.1" 301 617
85.14.245.125 - - [27/May/2019:16:25:45 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 301 617
