54.36.148.206 - - [20/Sep/2018:14:04:28 +0200] "GET /var/m_0/0d/0dd/12455/6564675-G3_SKT2015_08.jpg HTTP/1.1" 301 352
195.141.126.4 - - [20/Sep/2018:14:18:37 +0200] "GET /kurse.shtml HTTP/1.1" 200 32177
195.141.126.4 - - [20/Sep/2018:14:20:05 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 200 31308
216.244.66.248 - - [20/Sep/2018:14:20:55 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [20/Sep/2018:14:20:56 +0200] "GET /robots.txt HTTP/1.1" 200 120
195.141.126.4 - - [20/Sep/2018:14:25:33 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 200 36653
180.76.15.22 - - [20/Sep/2018:14:28:28 +0200] "GET / HTTP/1.1" 301 306
180.76.15.22 - - [20/Sep/2018:14:28:29 +0200] "GET / HTTP/1.1" 200 179910
194.209.86.42 - - [20/Sep/2018:14:33:38 +0200] "GET / HTTP/1.1" 301 306
194.209.86.42 - - [20/Sep/2018:14:33:38 +0200] "GET / HTTP/1.1" 200 32319
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 662
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /js/bundles/front_bundle.min.js?v=6.9.1.43359 HTTP/1.1" 200 48314
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3511
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 1089
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
194.209.86.42 - - [20/Sep/2018:14:33:39 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
