157.55.39.72 - - [23/Dec/2017:08:35:25 +0100] "GET /vermietung.shtml HTTP/1.1" 200 5099
38.95.111.200 - - [23/Dec/2017:08:45:16 +0100] "GET /events.shtml HTTP/1.1" 200 22514
38.95.111.200 - - [23/Dec/2017:08:45:17 +0100] "GET /galerie.shtml HTTP/1.1" 200 22747
38.95.111.200 - - [23/Dec/2017:08:45:17 +0100] "GET /kurse.shtml HTTP/1.1" 200 31031
38.95.111.200 - - [23/Dec/2017:08:45:18 +0100] "GET /vermietung.shtml HTTP/1.1" 200 25728
38.95.111.200 - - [23/Dec/2017:08:45:19 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21256
38.95.111.200 - - [23/Dec/2017:08:45:19 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21251
38.95.111.200 - - [23/Dec/2017:08:45:19 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20248
38.95.111.200 - - [23/Dec/2017:08:45:20 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 21704
38.95.111.200 - - [23/Dec/2017:08:45:20 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 20574
38.95.111.200 - - [23/Dec/2017:08:45:21 +0100] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 29913
38.95.111.200 - - [23/Dec/2017:08:45:21 +0100] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 200 49420
38.95.111.200 - - [23/Dec/2017:08:45:22 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 26353
38.95.111.200 - - [23/Dec/2017:08:45:22 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 19898
38.95.111.200 - - [23/Dec/2017:08:45:22 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 23039
38.95.111.200 - - [23/Dec/2017:08:45:23 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 21440
38.95.111.200 - - [23/Dec/2017:08:45:23 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 17863
38.95.111.200 - - [23/Dec/2017:08:45:23 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 19993
38.95.111.200 - - [23/Dec/2017:08:45:24 +0100] "GET /flotte.shtml HTTP/1.1" 200 29241
38.95.111.200 - - [23/Dec/2017:08:45:25 +0100] "GET /js/jquery.lazyload.min.js?v=6.6.7.2.41064 HTTP/1.1" 200 3342
38.95.111.200 - - [23/Dec/2017:08:45:25 +0100] "GET /js/functions_stripped.js?v=6.6.7.2.41064 HTTP/1.1" 200 7672
38.95.111.200 - - [23/Dec/2017:08:45:25 +0100] "GET /Perspectiva.html? HTTP/1.1" 200 18069
38.95.111.200 - - [23/Dec/2017:08:45:26 +0100] "GET /js/).html(a);null==$( HTTP/1.1" 200 219
38.95.111.200 - - [23/Dec/2017:08:45:26 +0100] "GET /js/index.php?sid=46&lang=en&item=1&act=users&ajax=state HTTP/1.1" 200 210
38.95.111.200 - - [23/Dec/2017:08:45:27 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 18388
38.95.111.200 - - [23/Dec/2017:08:45:28 +0100] "GET /davosersee HTTP/1.1" 200 19505
38.95.111.200 - - [23/Dec/2017:08:45:28 +0100] "GET /event-gruppesmartkat HTTP/1.1" 200 21256
38.95.111.200 - - [23/Dec/2017:08:45:29 +0100] "GET /event-pedalo HTTP/1.1" 200 20248
38.95.111.200 - - [23/Dec/2017:08:45:29 +0100] "GET /event-matchracing HTTP/1.1" 200 21251
38.95.111.200 - - [23/Dec/2017:08:45:30 +0100] "GET /events HTTP/1.1" 200 22514
