54.36.148.71 - - [22/Sep/2018:10:14:03 +0200] "GET /var/m_0/0d/0dd/12455/6564678-G3_SKT2015_10.jpg HTTP/1.1" 301 360
216.244.66.248 - - [22/Sep/2018:10:21:38 +0200] "GET /robots.txt HTTP/1.1" 301 324
216.244.66.248 - - [22/Sep/2018:10:21:40 +0200] "GET /robots.txt HTTP/1.1" 200 120
1.194.238.44 - - [22/Sep/2018:10:25:20 +0200] "GET /favicon.ico HTTP/1.1" 301 325
1.194.238.44 - - [22/Sep/2018:10:25:23 +0200] "GET /favicon.ico HTTP/1.1" 200 1150
1.194.238.44 - - [22/Sep/2018:10:25:23 +0200] "GET /robots.txt HTTP/1.1" 301 324
1.194.238.44 - - [22/Sep/2018:10:25:25 +0200] "GET /robots.txt HTTP/1.1" 200 120
1.194.238.44 - - [22/Sep/2018:10:25:26 +0200] "GET /data/cycle_image.xml HTTP/1.1" 301 334
1.194.238.44 - - [22/Sep/2018:10:25:28 +0200] "GET /data/cycle_image.xml HTTP/1.1" 200 163257
216.244.66.248 - - [22/Sep/2018:10:27:26 +0200] "GET /var/m_0/0d/0dd/12455/7230905-G5_Matchracing_02.jpg HTTP/1.1" 200 68797
77.75.78.168 - - [22/Sep/2018:10:53:09 +0200] "GET /robots.txt HTTP/1.1" 200 80
77.75.78.168 - - [22/Sep/2018:10:53:09 +0200] "GET /var/m_0/0d/0dd/12455/8010562-7_Plauschsegeln.JPG HTTP/1.1" 200 189182
